"filename", "language", "JSON", "Properties", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseMaterial.ts", "TypeScript", 0, 0, 0, 16, 0, 2, 18
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseMaterialModel.ts", "TypeScript", 0, 0, 0, 64, 0, 13, 77
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Services\CourseService.ts", "TypeScript", 0, 0, 0, 64, 0, 16, 80
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\LoginCredentials.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\User.ts", "TypeScript", 0, 0, 0, 17, 1, 2, 20
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\UserModel.ts", "TypeScript", 0, 0, 0, 85, 0, 18, 103
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\UserRepository.ts", "TypeScript", 0, 0, 0, 8, 0, 2, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Services\UserService.ts", "TypeScript", 0, 0, 0, 65, 0, 16, 81
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\UserController.ts", "TypeScript", 0, 0, 0, 107, 0, 14, 121
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\UserValidator.ts", "TypeScript", 0, 0, 0, 52, 0, 9, 61
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTask.ts", "TypeScript", 0, 0, 0, 17, 0, 2, 19
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskModel.ts", "TypeScript", 0, 0, 0, 67, 0, 15, 82
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskOption.ts", "TypeScript", 0, 0, 0, 8, 0, 2, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskOptionModel.ts", "TypeScript", 0, 0, 0, 32, 0, 7, 39
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Work.ts", "TypeScript", 0, 0, 0, 13, 0, 2, 15
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\WorkModel.ts", "TypeScript", 0, 0, 0, 48, 0, 12, 60
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\WorkRepository.ts", "TypeScript", 0, 0, 0, 8, 0, 2, 10
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Services\WorkService.ts", "TypeScript", 0, 0, 0, 37, 0, 14, 51
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\WorkController.ts", "TypeScript", 0, 0, 0, 105, 0, 13, 118
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\WorkValidator.ts", "TypeScript", 0, 0, 0, 6, 0, 2, 8
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\main.ts", "TypeScript", 0, 0, 0, 19, 2, 8, 29
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\test\modules.spec.ts", "TypeScript", 0, 0, 0, 345, 0, 32, 377
"c:\Users\nukle\OneDrive\projects\noo\web-2.0\tsconfig.json", "JSON with Comments", 0, 0, 32, 0, 0, 1, 33
"Total", "-", 4100, 7, 32, 2191, 12, 410, 6752
